"CHECKOUT FIELDS CONFIGURATION","CHECKOUT FIELDS CONFIGURATION"
"Additional Options","Additional Options"
"Customer Information","Customer Information"
"Order Summary","Order Summary"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Store View:","Store View:"
"Customer Group:","Customer Group:"
Period:,Period:
From:,From:
To:,To:
Today,Today
"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
Overall,Overall
Custom,Custom
"All Customer Groups","All Customer Groups"
"All Stores","All Stores"
Refresh,Refresh
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"If you want to perfrom a more complex configuration and need to have an advanced control over your order attributes, go to the settings page of Amasty Order Attributes module by clicking <a target='_blank' href='%1'>here</a>.","If you want to perfrom a more complex configuration and need to have an advanced control over your order attributes, go to the settings page of Amasty Order Attributes module by clicking <a target='_blank' href='%1'>here</a>."
"If you need a wider range of configurable attributes available for you to customize and fine-tune your checkout page, please get our extension 'Order Attributes'. Learn more <a target='_blank' href='%1'>here</a>.","If you need a wider range of configurable attributes available for you to customize and fine-tune your checkout page, please get our extension 'Order Attributes'. Learn more <a target='_blank' href='%1'>here</a>."
"Let your customers sign in with different social networks on the checkout. This setting is enabled once Social Login is installed. Learn more about it <a target='_blank' href='%1'>here</a>.","Let your customers sign in with different social networks on the checkout. This setting is enabled once Social Login is installed. Learn more about it <a target='_blank' href='%1'>here</a>."
"You can set Terms and Conditions <a target='_blank' href='%1'>here</a>.","You can set Terms and Conditions <a target='_blank' href='%1'>here</a>."
System,System
"One Step Checkout","One Step Checkout"
"Manage Checkout Fields","Manage Checkout Fields"
"Fields information has been successfully updated","Fields information has been successfully updated"
"Checkout Analytics","Checkout Analytics"
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
Checkout,Checkout
"Customer is already registered","Customer is already registered"
"Your session has expired","Your session has expired"
"Registration: A letter with further instructions will be sent to your email.","Registration: A letter with further instructions will be sent to your email."
"Something went wrong with the registration.","Something went wrong with the registration."
"Shipping Address","Shipping Address"
Delivery,Delivery
"Unsaved changes will be discarded.","Unsaved changes will be discarded."
"Please, select a static block","Please, select a static block"
No,No
"After Placing an Order","After Placing an Order"
"While Placing an Order, Optional","While Placing an Order, Optional"
"While Placing an Order, Required","While Placing an Order, Required"
"Below the Selected Payment Method","Below the Selected Payment Method"
"Below the Order Total","Below the Order Total"
"Below the Shipping Address","Below the Shipping Address"
"Below the Shipping Method","Below the Shipping Method"
"Below Delivery Date/Time/Comment","Below Delivery Date/Time/Comment"
"Below the Payment Method","Below the Payment Method"
"Amasty One Step Checkout","Amasty One Step Checkout"
"2 Columns","2 Columns"
"3 Columns","3 Columns"
Grid,Grid
"Dropdown Menu","Dropdown Menu"
Manually,Manually
Automatically,Automatically
"Could not save the fee: %1","Could not save the fee: %1"
"Fee with id ""%1"" does not exist.","Fee with id ""%1"" does not exist."
"Could not delete the fee: %1","Could not delete the fee: %1"
"Enabled Checkout Fields","Enabled Checkout Fields"
"Disabled Checkout Fields","Disabled Checkout Fields"
"Add Order Attribute","Add Order Attribute"
"Install Order Attributes for Magento 2 by Amasty to unlock","Install Order Attributes for Magento 2 by Amasty to unlock"
"Add Custom Fields","Add Custom Fields"
"Add Customer Attribute","Add Customer Attribute"
"Install Customer Attributes for Magento 2 by Amasty to unlock","Install Customer Attributes for Magento 2 by Amasty to unlock"
"We can't find the quote item.","We can't find the quote item."
"Unable to save quotePasswords with ID %1. Error: %2","Unable to save quotePasswords with ID %1. Error: %2"
