"Gift message for order items is not allowed.","Gift message for order items is not allowed."
"Required parameter ""%1"" is missing","Required parameter ""%1"" is missing"
"Gift message for order items was applied.","Gift message for order items was applied."
"Gift message for whole order is not allowed.","Gift message for whole order is not allowed."
"Gift message for whole order was applied.","Gift message for whole order was applied."
"""model"" value should be specified","""model"" value should be specified"
"""order_number"" value must be specified","""order_number"" value must be specified"
"""model"" value must be specified","""model"" value must be specified"
"Delivery Date isn't allowed","Delivery Date isn't allowed"
"""order"" value must be specified","""order"" value must be specified"
"Additional fields were saved.","Additional fields were saved."
"Delivery date is not allowed.","Delivery date is not allowed."
"Delivery date was changed.","Delivery date was changed."
"Gift wrap is not allowed.","Gift wrap is not allowed."
"Gift wrap status was changed.","Gift wrap status was changed."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
